,frequency_mhz
33664,118.7
33664,126.55
33664,121.9
33664,122.2
33664,118.7
33664,122.95
33673,119.7
33673,31.762
33673,128.025
33673,119.7
33673,138.1
33673,37.61
33673,32.392
33673,31.1
33673,31.1
33673,37.22
33673,126.25
33675,118.5
33675,128.55
33675,121.75
33675,121.9
33675,119.1
33675,122.95
33676,120.6
33676,134.25
33676,120.1
33676,121.9
33676,120.1
33676,122.95
33686,121.05
33686,108.45
33686,120.0
33686,121.05
33686,128.425
33686,34.46
33686,37.22
33686,133.7
33767,125.45
33767,126.425
33767,127.4
33767,122.6
33767,123.0
33787,22.93
33787,120.6
33787,27.35
33787,126.7
33787,126.9
33787,128.1
33787,127.05
33787,34.655
33787,38.13
33787,37.22
33787,119.3
33801,120.05
33801,124.6
33801,125.45
33801,28.4
33801,119.7
33801,121.9
33801,122.35
33801,118.7
33801,122.95
33825,118.05
33825,121.25
33825,120.35
33825,127.6
33825,118.05
33825,121.9
33825,122.2
33825,127.6
33825,122.95
33829,119.75
33829,125.2
33829,118.05
33829,121.9
33829,122.2
33829,118.5
33829,122.95
33896,120.45
33896,134.85
33896,135.7
33896,125.05
33896,121.9
33896,113.5
33896,129.55
33896,120.1
33896,122.95
33898,120.05
33898,124.05
33898,128.1
33898,28.14
33898,119.7
33898,118.575
33898,122.4
33898,29.02
33898,120.725
33898,122.95
33933,119.3
33933,134.25
33933,128.75
33933,119.05
33933,121.8
33933,122.55
33933,120.9
33933,122.95
33971,123.9
33971,121.05
33971,120.9
33971,121.7
33971,26.46
33971,122.2
33971,120.9
33971,122.95
33974,118.0
33974,125.85
33974,119.5
33974,121.9
33974,25.125
33974,27.39
33974,25.125
33974,118.3
33974,122.95
33982,125.7
33982,127.4
33982,132.4
33982,115.1
33982,135.05
33982,135.9
33982,121.65
33982,121.9
33982,115.9
33982,119.1
33982,123.9
33982,122.95
33990,120.85
33990,128.6
33990,119.8
33990,121.6
33990,122.6
33990,119.8
33990,122.95
34074,126.45
34074,122.45
34074,122.8
34096,125.025
34096,132.4
34096,118.0
34096,125.02
34096,121.1
34096,119.9
34096,122.95
34098,36.07
34098,124.3
34098,133.8
34098,121.4
34098,124.3
34098,121.65
34098,34.5
34098,898.4
34098,37.22
34098,119.8
34098,122.95
34099,119.2
34099,125.3
34099,125.8
34099,119.2
34099,121.9
34099,122.55
34099,120.5
34099,122.95
34119,120.15
34119,126.3
34119,132.35
34119,121.9
34119,119.1
34119,122.95
34120,124.9
34120,27.01
34120,118.85
34120,121.7
34120,123.375
34120,23.98
34120,25.125
34120,141.75
34120,125.0
34122,121.1
34122,134.05
34122,125.55
34122,118.5
34122,121.8
34122,122.35
34122,118.5
34122,122.95
34123,118.0
34123,132.7
34123,125.95
34123,121.875
34123,120.4
34123,121.7
34123,118.7
34123,122.95
34138,119.5
34138,125.65
34138,118.95
34138,121.9
34138,122.2
34138,118.7
34138,122.95
34188,120.7
34188,134.925
34188,126.25
34188,133.175
34188,26.74
34188,34.94
34188,37.22
34188,119.1
34294,120.95
34294,118.6
34294,121.85
34294,120.1
34294,121.7
34294,122.2
34294,120.1
34294,122.95
34301,124.95
34301,133.825
34301,119.65
34301,118.575
34301,34.46
34301,138.95
34301,37.22
34301,123.7
34302,120.95
34302,126.625
34302,135.7
34302,124.7
34302,121.65
34302,122.65
34302,125.75
34302,122.95
34305,119.4
34305,121.25
34305,134.7
34305,121.8
34305,41.5
34305,122.1
34305,122.2
34305,118.45
34305,122.95
34316,118.4
34316,132.75
34316,132.75
34316,121.85
34316,121.65
34316,118.7
34316,122.95
34321,33.83
34321,119.1
34321,127.75
34321,125.2
34321,124.15
34321,121.65
34321,138.95
34321,122.2
34321,118.3
34321,122.95
34333,121.0
34333,26.95
34333,125.3
34333,34.02
34333,47.0
34333,27.475
34333,37.952
34333,139.3
34333,120.75
34336,118.85
34336,120.675
34336,118.3
34336,119.7
34336,121.7
34336,38.2
34336,27.68
34336,122.2
34336,122.85
34336,119.7
34336,122.95
34348,120.5
34348,119.15
34348,120.35
34348,119.45
34348,121.8
34348,118.3
34348,123.0
34361,118.0
34361,126.4
34361,148.35
34361,120.8
34361,119.65
34361,121.8
34361,32.1
34361,31.42
34361,37.61
34361,37.61
34361,122.4
34361,119.1
34361,122.95
34376,118.2
34376,121.2
34376,123.95
34376,119.4
34376,121.9
34376,122.6
34376,119.4
34376,122.95
34381,118.15
34381,125.05
34381,121.65
34381,118.9
34381,121.9
34381,122.25
34381,118.9
34381,122.95
34402,118.5
34402,124.75
34402,119.85
34402,118.3
34402,121.9
34402,41.05
34402,34.5
34402,122.2
34402,118.3
34402,122.95
34435,118.72
34435,120.8
34435,133.2
34435,132.975
34435,121.8
34435,28.267
34435,31.12
34435,25.21
34435,28.267
34435,122.3
34435,123.675
34435,122.95
34438,123.85
34438,127.55
34438,127.2
34438,121.9
34438,119.5
34438,122.95
34451,124.8
34451,27.35
34451,127.1
34451,37.12
34451,120.5
34451,34.25
34451,38.13
34451,138.9
34451,122.6
34451,133.85
34584,124.7
34584,118.8
34584,118.0
34584,125.55
34584,121.9
34584,124.7
34584,120.7
34584,33.79
34584,122.6
34584,122.2
34584,119.3
34584,119.3
34627,31.76
34627,125.35
34627,133.775
34627,121.1
34627,120.9
34627,121.75
34627,122.0
34627,118.3
34627,122.95
34655,120.45
34655,125.85
34655,124.35
34655,121.9
34655,22.56
34655,119.35
34674,120.1
34674,120.4
34674,119.9
34674,121.9
34674,116.3
34674,122.35
34674,132.1
34674,122.95
34683,119.65
34683,124.25
34683,118.1
34683,121.9
34683,120.6
34697,119.0
34697,135.4
34697,135.4
34697,121.6
34697,125.0
34697,121.675
34697,126.2
34697,126.9
34697,122.95
34699,28.83
34699,118.9
34699,127.15
34699,118.5
34699,125.2
34699,121.9
34699,116.9
34699,120.8
34842,119.1
34842,25.44
34842,118.05
34842,121.9
34842,29.062
34842,38.13
34842,139.9
34842,133.95
34849,124.6
34849,119.975
34849,123.75
34849,121.6
34849,127.35
34849,121.9
34849,122.4
34849,119.1
34849,122.95
34859,124.35
34859,29.92
34859,118.1
34859,120.625
34859,120.125
34859,118.1
34859,121.9
34859,28.05
34859,118.7
34859,122.95
34874,125.7
34874,128.65
34874,121.65
34874,118.7
34874,124.9
34874,121.9
34874,122.65
34874,124.9
34874,122.95
34878,123.8
34878,120.425
34878,133.4
34878,118.85
34878,119.75
34878,121.9
34878,118.5
34878,122.95
34882,124.1
34882,127.575
34882,118.1
34882,119.75
34882,140.0
34882,122.2
34882,118.7
34882,122.95
34883,124.675
34883,126.1
34883,126.1
34883,121.85
34883,32.3
34883,141.55
34883,122.35
34883,119.1
34883,122.95
34890,36.08
34890,120.875
34890,127.25
34890,126.75
34890,118.65
34890,121.9
34890,31.1
34890,25.21
34890,112.0
34890,131.375
34890,119.1
34890,122.95
34935,127.2
34935,128.45
34935,125.3
34935,121.7
34935,122.2
34935,125.3
34935,122.95
34966,135.4
34966,124.2
34966,126.65
34966,120.7
34966,121.9
34966,122.6
34966,120.7
34979,119.75
34979,119.05
34979,121.9
34979,120.9
34979,121.9
34979,120.9
34979,122.95
36076,124.8
36076,123.8
36076,120.1
36076,125.3
36076,121.7
36076,49.15
36076,122.2
36076,119.3
36076,122.95
36080,121.0
36080,126.7
36080,119.25
36080,121.9
36080,122.65
36080,118.3
36080,122.95
36087,118.2
36087,119.15
36087,127.55
36087,121.9
36087,40.2
36087,142.175
36087,122.2
36087,121.1
36087,122.95
36110,39.21
36110,124.45
36110,27.18
36110,33.835
36110,127.1
36110,119.75
36110,120.5
36110,124.75
36110,23.98
36110,37.22
36110,128.25
36113,119.2
36113,135.8
36113,124.9
36113,121.9
36113,38.885
36113,434.1
36113,122.2
36113,118.7
36113,122.95
36117,118.15
36117,134.95
36117,119.7
36117,121.9
36117,122.2
36117,118.3
36117,122.95
36137,119.2
36137,120.5
36137,118.3
36137,121.9
36137,122.45
36137,118.3
36137,122.95
36139,119.75
36139,124.65
36139,132.075
36139,121.9
36139,128.75
36139,122.95
36213,119.6
36213,134.8
36213,125.9
36213,123.9
36213,157.15
36213,898.4
36213,118.3
36213,122.95
36215,118.05
36215,118.9
36215,126.7
36215,121.9
36215,122.2
36215,119.8
36215,122.95
36216,118.4
36216,123.75
36216,119.55
36216,119.1
36216,121.9
36216,112.7
36216,23.7
36216,22.575
36216,123.65
36216,119.1
36216,122.95
36236,123.675
36236,118.725
36236,126.1
36236,123.675
36236,121.7
36236,26.81
36236,124.2
36236,122.95
36240,119.2
36240,118.0
36240,128.0
36240,118.5
36240,121.7
36240,119.9
36240,122.95
36250,119.775
36250,125.975
36250,121.35
36250,120.3
36250,121.35
36250,120.3
36253,125.35
36253,113.7
36253,118.05
36253,118.2
36253,120.9
36253,121.8
36253,34.5
36253,120.5
36253,122.95
36258,124.95
36258,119.05
36258,123.675
36258,121.9
36258,134.95
36258,122.55
36258,119.9
36258,122.95
36264,135.075
36264,133.3
36264,124.2
36264,122.5
36264,122.8
36274,33.82
36274,120.1
36274,126.95
36274,118.0
36274,124.0
36274,121.3
36274,121.7
36274,124.0
36278,123.75
36278,25.762
36278,121.85
36278,29.37
36278,23.48
36278,31.1
36278,130.0
36278,126.2
36284,121.1
36284,124.75
36284,127.3
36284,121.9
36284,30.3
36284,122.4
36284,118.3
36284,122.95
36296,25.91
36296,125.25
36296,126.75
36296,121.1
36296,121.7
36296,125.7
36296,122.95
36319,118.6
36319,127.65
36319,121.7
36319,121.3
36319,121.9
36319,27.217
36319,122.25
36319,121.3
36319,131.42
36320,118.2
36320,132.05
36320,121.2
36320,119.75
36320,120.4
36320,125.5
36320,34.46
36320,37.22
36320,122.65
36320,119.75
36320,122.95
36329,119.65
36329,134.15
36329,134.15
36329,118.25
36329,120.1
36329,121.9
36329,115.2
36329,120.1
36329,122.95
36331,125.4
36331,132.125
36331,121.8
36331,126.1
36331,34.25
36331,38.13
36331,139.6
36331,126.65
36341,28.91
36341,120.05
36341,125.025
36341,119.5
36341,119.15
36341,22.712
36341,118.925
36341,29.79
36341,122.05
36341,28.46
36341,118.5
36341,122.95
36349,126.5
36349,124.75
36349,134.8
36349,121.7
36349,124.75
36349,121.7
36349,122.2
36349,122.6
36349,122.95
36353,124.6
36353,119.45
36353,118.7
36353,121.9
36353,37.31
36353,122.45
36353,118.7
36353,122.95
36368,126.125
36368,132.05
36368,125.05
36368,121.7
36368,139.625
36368,120.3
36368,122.95
36370,49.65
36370,127.45
36370,139.3
36370,121.75
36370,125.925
36370,128.275
36370,22.78
36370,34.46
36370,31.1
36370,118.725
36370,132.4
36420,126.5
36420,27.01
36420,125.15
36420,34.25
36420,34.94
36420,37.22
36420,124.8
36439,26.68
36439,120.45
36439,27.01
36439,119.7
36439,121.8
36439,119.15
36439,38.26
36439,26.102
36439,22.845
36439,141.65
36439,134.1
36439,35.412
36439,124.45
36449,128.7
36449,119.45
36449,126.65
36449,118.7
36449,121.9
36449,122.2
36449,118.7
