,frequency_mhz
20620,130.125
20624,123.65
20624,118.25
20629,130.275
20633,119.825
20633,118.3
20639,130.9
20646,133.3
20648,118.6
20648,123.6
20648,125.1
20648,124.65
20649,125.1
20649,130.775
20652,125.1
20652,129.25
20652,118.725
20657,122.65
20658,119.825
20658,129.875
20658,118.675
20660,118.63
20661,125.1
20661,123.0
20663,132.565
20665,123.65
20666,125.1
20666,122.6
20669,122.6
20673,125.1
20673,122.85
20675,122.45
20677,125.1
20677,122.05
20680,132.99
20683,122.4
20685,125.1
20685,123.655
20686,119.65
20733,126.1
20733,123.5
20734,124.2
20734,123.4
20735,127.1
20735,123.5
20739,123.55
20740,121.3
20740,123.15
20742,132.675
20742,123.6
20750,124.2
20750,123.4
20751,123.15
20752,123.6
20754,124.2
20754,123.55
20756,122.5
20758,132.325
20758,123.55
20759,123.6
20760,123.6
20765,127.1
20765,123.65
20772,121.3
20772,123.4
20773,124.2
20773,123.5
20777,123.5
20778,127.1
20778,123.45
20779,123.4
20780,124.2
20780,123.55
20784,132.325
20784,123.5
20785,135.525
20785,123.55
20786,132.325
20786,122.425
20786,123.4
20787,135.525
20787,123.5
20788,123.4
20792,123.5
20794,120.65
20795,132.325
20795,123.5
20797,127.1
20797,123.15
20798,135.825
20798,122.825
20799,127.1
20799,123.2
20801,126.1
20801,123.15
20804,123.55
20806,135.525
20806,123.2
20808,135.525
20808,123.45
20812,124.2
20812,123.2
20813,121.6
20814,135.525
20814,123.65
20815,123.5
20816,123.2
20818,124.2
20818,123.5
20819,132.325
20819,123.5
20820,121.3
20820,122.625
20820,122.65
20822,123.2
20826,124.2
20826,123.5
20827,132.675
20827,123.6
20834,132.325
20834,123.5
20835,124.2
20835,123.5
20836,127.1
20836,123.55
20838,127.1
20838,123.5
20840,135.525
20840,123.55
20860,123.175
20864,129.975
20866,122.825
20870,128.305
20878,118.35
20880,119.025
20880,129.8
20881,122.125
20883,122.7
20883,122.7
20884,129.825
20885,124.075
20887,123.0
20887,124.875
20887,123.0
20888,118.9
20889,129.8
20890,123.5
20890,123.5
20891,122.175
20893,124.03
20895,120.25
20899,130.425
20902,126.6
20902,126.5
20903,122.25
20904,122.925
20904,122.925
20909,130.3
20910,122.075
20911,122.45
20912,128.0
20916,129.975
20916,122.75
20919,128.3
20919,128.3
20920,134.05
20920,122.1
20931,118.025
20934,125.0
20935,118.3
20936,118.055
20940,122.6
20941,118.3
20942,123.8
20944,122.15
20949,124.4
20949,124.4
20949,124.4
20953,122.7
20955,130.7
20955,130.7
20955,130.7
20957,123.15
20957,123.15
20959,125.4
20959,130.8
20959,125.4
20962,123.25
20965,123.5
20966,130.45
20967,129.805
20969,122.455
20970,130.25
20972,123.0
20973,129.8
20974,128.65
20974,130.5
20974,125.35
20982,122.0
20984,129.73
20986,119.6
20987,122.7
20989,130.725
20989,130.725
20992,125.4
20995,122.6
20995,122.6
21000,120.925
21000,135.7
21005,130.85
21013,130.475
21014,123.275
21015,123.25
21017,132.425
21026,132.325
21028,122.45
21028,122.45
21030,123.05
21031,29.252
21031,118.93
21032,28.2
21032,27.902
21032,122.1
21034,122.225
21034,118.95
21034,125.225
21034,119.75
21037,121.0
21037,121.0
21037,282.57
21037,119.75
21037,278.2
21045,120.6
21048,130.455
21056,121.08
21058,130.35
21058,130.35
21068,129.725
21069,122.8
21072,122.6
21074,130.555
21074,130.555
21075,120.375
21076,124.35
21076,129.8
21077,122.775
21077,125.8
21078,120.325
21078,122.3
21079,118.15
21080,122.425
21082,130.9
21083,122.075
21084,124.4
21086,123.525
21089,121.77
21089,126.55
21091,119.1
21093,123.43
21093,123.43
21098,122.255
21099,119.75
21100,122.4
21100,122.4
21101,123.475
21102,122.775
21105,121.1
21122,280.62
21122,118.275
21122,118.275
21122,118.6
21122,357.02
21126,121.1
21127,130.425
21146,125.425
21153,120.15
21174,132.03
21174,132.355
21174,118.355
21174,120.705
21180,132.355
21180,119.655
21187,127.355
21188,131.03
21195,119.255
21198,118.33
21198,120.305
21198,118.705
21203,120.655
21204,123.43
21205,121.005
21205,132.53
21206,123.38
21206,130.13
21209,119.305
21216,122.6
21219,122.4
21220,122.95
21221,123.6
21222,123.0
21226,128.55
21232,118.175
21238,131.9
21239,123.0
21240,123.0
21241,123.425
21243,122.9
21243,130.4
21246,129.55
21249,118.55
21253,122.55
21259,123.3
21282,129.8
21288,122.5
21291,123.5
21296,121.0
21299,122.475
21304,122.225
21311,124.975
21311,123.5
21320,127.475
21320,122.075
21339,123.5
21352,123.975
21352,123.5
21359,129.975
21373,118.45
21374,124.7
21374,123.5
21383,121.3
21384,123.5
21387,122.7
21398,122.15
21399,123.5
21401,123.5
21403,130.275
21406,119.9
21407,123.35
21409,122.175
21413,118.1
21414,122.3
21417,119.1
21422,126.45
21437,122.95
21450,123.5
21451,122.95
21456,123.5
21462,119.3
21462,121.5
21464,123.5
21479,122.3
21481,123.5
21484,123.5
21516,122.2
21518,119.175
21526,122.8
21535,118.26
21548,118.08
21552,119.4
21555,122.9
21555,122.7
21556,120.3
21558,122.4
21569,127.25
21569,122.405
21575,119.1
21575,123.35
21578,122.6
21587,122.2
21591,122.9
21594,128.5
21595,122.4
21599,126.805
21604,122.2
21604,122.7
21613,136.425
21616,120.66
21621,122.8
21626,122.8
21634,128.5
21634,123.325
21634,118.55
21643,129.85
21657,130.125
21658,123.75
21702,123.5
21765,130.125
21795,129.975
21936,130.4
21936,134.2
21936,119.2
21941,123.6
21951,123.55
21952,123.4
21954,123.525
21955,123.35
21957,123.65
21958,123.65
21960,118.0
21960,123.35
21961,124.45
21964,123.65
21967,123.55
21969,123.55
21970,123.15
21972,130.0
21972,130.0
21986,123.2
21987,122.35
21990,123.55
21991,123.425
21993,123.15
21995,122.505
21996,123.55
21997,123.65
22000,123.35
22002,123.35
22003,123.42
22009,132.25
22009,132.25
22009,136.25
22012,123.2
22013,123.65
22014,123.55
22023,124.85
22023,133.0
22023,124.85
22026,123.55
22029,123.55
22031,123.4
22046,124.15
22046,130.4
22049,123.15
22049,135.0
22056,123.55
22059,123.5
22069,131.615
22073,128.625
22073,123.2
22077,123.4
22104,123.55
22127,25.33
22127,40.6
22129,123.68
22136,140.3
22136,33.7
22136,31.8
22154,60.0
22154,30.4
22170,123.95
22188,123.95
22205,135.5
22205,124.2
22205,124.6
22205,118.5
22219,125.0
22219,125.0
22227,122.0
22232,119.1
22281,122.9
22283,123.0
22297,130.65
22348,120.35
22349,122.7
22357,124.8
22398,119.1
22398,127.0
22398,122.65
22398,118.7
22404,124.8
22406,124.4
22422,131.1
22438,123.5
22441,119.1
22441,123.5
22458,126.4
22458,119.6
22485,124.8
22486,122.0
22487,122.4
22488,120.65
22492,122.4
22492,130.35
22502,124.8
22505,121.2
22505,115.0
22505,121.75
22505,119.8
22506,121.2
22513,127.95
22520,122.2
22525,124.2
22543,119.8
22543,119.8
22543,119.8
22553,118.4
22553,122.0
22565,118.4
22575,123.5
22593,130.35
22595,119.3
22596,122.4
22598,134.4
22598,121.75
22598,123.2
22608,122.6
22610,125.6
22619,131.3
22621,122.2
22639,124.8
22639,130.4
22647,124.8
22652,123.5
22655,118.0
22661,124.8
22661,119.0
22950,119.1
22950,118.2
23153,118.3
23208,118.9
23208,119.7
23209,118.3
23266,118.4
23304,118.3
23359,124.9
23374,121.3
23384,118.4
23931,118.9
24024,120.6
24056,118.9
24080,123.6
24103,125.6
24157,118.9
24252,118.1
24273,118.1
24310,118.3
24334,118.7
24445,122.725
24487,122.75
24551,118.1
24562,129.875
24563,135.475
24581,135.475
24593,122.85
24593,124.375
24599,135.475
24600,129.825
24600,135.475
24601,135.475
24602,129.825
24603,122.75
24603,135.48
24604,135.475
24605,135.475
24606,135.475
24607,123.5
24613,135.475
24617,135.475
24618,135.475
24619,122.525
24620,135.475
24623,135.475
24628,119.45
24630,119.625
24701,123.165
24712,134.025
24732,123.205
24735,135.475
24756,135.475
24757,135.475
24758,129.825
24759,129.825
24760,130.38
24763,135.475
24795,130.43
24803,135.475
24834,129.825
24841,130.575
24871,135.475
24896,122.075
24912,135.475
24920,135.475
24923,129.825
24924,135.475
24995,129.825
25019,135.48
25132,132.475
25533,122.455
25579,119.35
25584,128.8
25588,121.7
25588,118.4
25713,120.3
25713,119.5
25721,131.0
25731,119.0
25735,121.2
25747,124.5
25763,120.5
25763,129.5
25763,345.2
25763,118.1
25775,568.0
25775,118.9
25778,568.0
25778,118.9
25780,568.0
25780,118.9
25782,568.0
25782,118.1
25784,118.9
25794,568.0
25794,118.9
25796,119.7
25889,658.9
25889,121.9
25890,658.9
25890,118.5
25894,658.9
25894,118.7
25946,119.1
26026,120.425
26026,233.2
26026,126.8
26026,238.05
26032,131.97
26032,543.0
26074,585.9
26074,118.3
26077,119.05
26081,585.9
26081,122.8
26086,121.9
26086,118.5
26087,121.9
26087,118.9
26096,121.9
26096,579.0
26096,121.3
26105,122.9
26105,122.3
26105,122.8
26272,118.0
26272,119.2
26336,118.6
26389,118.4
26403,120.7
26405,118.7
26516,123.2
26543,133.425
26598,118.85
26598,118.525
26598,126.5
26598,122.7
26840,122.4
26895,122.2
26955,122.1
26956,131.3
27050,122.9
27166,122.2
27355,123.25
27366,129.25
27367,120.45
27367,118.85
27404,122.75
27411,122.425
27412,0.217
27414,0.247
27414,131.5
27416,131.5
27651,123.45
27944,130.0
27945,130.0
27947,131.05
27957,130.0
27959,130.0
27960,130.0
27962,130.0
27963,130.0
27964,130.0
27965,130.0
27967,130.0
27967,143.9
27968,130.0
27971,130.0
27973,128.45
27974,130.0
27975,130.0
27986,130.0
27988,130.0
27991,130.0
27998,130.0
28001,130.0
28008,130.0
28014,130.0
28016,130.0
28017,130.0
28019,130.0
28030,128.45
28033,130.0
28036,130.0
28042,127.0
28056,118.125
28061,119.1
28079,119.35
28089,130.0
28099,130.0
28099,128.1
28100,130.025
28124,130.0
28132,123.455
28133,128.45
28134,130.0
28137,130.5
28138,130.0
28143,124.0
28146,130.0
28147,130.0
28149,128.45
28154,130.0
28164,118.975
28165,130.0
28167,130.0
28168,130.0
28169,130.1
28171,123.45
28172,130.0
28173,130.0
28174,130.0
28175,130.0
28179,130.0
28184,130.0
28185,130.0
28188,130.0
28198,126.95
28199,130.0
28201,130.0
28202,156.725
28205,130.0
28208,130.0
28209,130.0
28210,130.0
28315,121.9
28322,123.6
28369,130.0
31407,122.9
31407,122.8
31408,122.9
31409,122.9
31410,134.8
31410,122.7
31411,122.7
31413,122.8
31414,122.8
31415,121.2
31415,122.8
31416,122.7
31417,124.75
31417,123.0
31419,122.9
31420,122.9
31421,122.8
31422,133.95
31422,122.8
31423,122.9
31424,120.4
31424,122.8
31425,133.1
31425,123.65
31425,123.0
31426,122.9
31427,122.9
31427,122.3
31428,125.5
31428,117.3
31428,122.8
31429,123.0
31430,127.6
31430,122.65
31430,122.8
31431,122.9
31432,122.5
31432,122.8
31433,133.4
31433,122.8
31434,122.8
31435,118.25
31435,122.9
31436,122.9
31437,122.7
31437,122.8
31439,121.2
31439,123.05
31440,122.9
31441,127.6
31441,122.9
31442,119.4
31442,122.9
31443,122.9
31444,119.2
31444,122.8
31445,126.75
31445,123.0
31446,122.9
31447,122.9
31448,122.9
31449,122.9
31450,132.1
31450,122.8
31451,122.8
31452,123.0
31453,122.8
31454,135.675
31454,123.0
31455,122.9
31456,124.1
31456,122.9
31457,123.75
31457,123.0
31458,125.75
31458,110.85
31458,122.8
31459,122.9
31460,122.9
31461,125.1
31461,122.8
31462,122.9
31463,122.8
31464,133.25
31464,122.8
31465,122.9
31466,122.9
31467,122.9
31468,122.9
31469,134.35
31469,111.2
